name,file_title
Blue Star,ElectricalAppliances
Crompt.Greaves Cons.,ElectricalAppliances
Dixon Technologies,ElectricalAppliances
Finolex Cables,ElectricalAppliances
Forbes & Company,ElectricalAppliances
Havells India,ElectricalAppliances
IFB Industries,ElectricalAppliances
Johnson Controls,ElectricalAppliances
MIRC Electronics,ElectricalAppliances
Orient Electric,ElectricalAppliances
Symphony,ElectricalAppliances
V-Guard Inds.,ElectricalAppliances
Voltas,ElectricalAppliances
Whirlpool Of India,ElectricalAppliances
Amber Enterprises,EMS
Avalon Technologies,EMS
Centrum Electronics,EMS
Cyient DLM,EMS
Dixon Technologies,EMS
Elin Electronics,EMS
Kaynes Technology,EMS
PG Electroplast,EMS
Syrma SGS Technology,EMS
Coromandel Interntl.,Fertilizer
GNFC,Fertilizer
GSFC,Fertilizer
JP Associate,Fertilizer
Kaveri Seed,Fertilizer
Mangalore Chem &Fert,Fertilizer
National Fertilizers,Fertilizer
Paradeep Phosphates,Fertilizer
RCF,Fertilizer
Shree Pushkar Chem,Fertilizer
SPIC,Fertilizer
Fert Chem Travancore,Fertilizer
Zuari Agro Chemicals,Fertilizer
ADF Foods,FMCG
Bajaj Corp,FMCG
Bombay Burmah Trdg.,FMCG
Britannia Inds,FMCG
Colgate Palmol. (I),FMCG
DFM Foods,FMCG
Dabur India,FMCG
Dodla Dairy,FMCG
Emami,FMCG
Future Consumer,FMCG
Godrej Consumer Prod,FMCG
Godrej Industries,FMCG
Goodricke Group,FMCG
Hatsun Agro Product,FMCG
Hindustan Unilever,FMCG
ITC,FMCG
Jyothy Labs,FMCG
KRBL,FMCG
LT Foods,FMCG
Marico,FMCG
Nestle,FMCG
Parag Milk Foods,FMCG
Prabhat Dairy,FMCG
Prataap Snacks,FMCG
Relaxo Footwears,FMCG
SH Kelkar & Co,FMCG
Tata Coffee,FMCG
Tata Consumer Produc,FMCG
Zydus Wellness,FMCG
Aditya Birla Capital,GeneralInsurance
Bajaj Finserv,GeneralInsurance
General Ins. Corp,GeneralInsurance
ICICI Lombard Gen.,GeneralInsurance
Kotak Mahindra Bank,GeneralInsurance
Poonawalla Fincorp,GeneralInsurance
Religare Enterprises,GeneralInsurance
Star Health and Allied,GeneralInsurance
SBI,GeneralInsurance
New India Assurance,GeneralInsurance
Asahi India Glass,GlassProducts
Binani Inds,GlassProducts
Borosil Renewables,GlassProducts
Empire Inds,GlassProducts
GMM Pfaudler,GlassProducts
Haldyn Glass,GlassProducts
Hind National Glass,GlassProducts
Insilco,GlassProducts
La Opala R G,GlassProducts
Saint-Gobain Sekurit,GlassProducts
Triveni Glass,GlassProducts
Bajaj Hold & Invest,HoldingCompanies
Balmer Lawrie Invsts,HoldingCompanies
Bengal & Assam,HoldingCompanies
Bombay Burmah Trdg.,HoldingCompanies
Equitas Holdings,HoldingCompanies
JSW Holdings,HoldingCompanies
Kalyani Investment,HoldingCompanies
Kama Holdings,HoldingCompanies
Maharashtra Scooters,HoldingCompanies
Pilani Investment,HoldingCompanies
Rane Holdings,HoldingCompanies
Sundaram Fin. Hold,HoldingCompanies
Tainwala Chem&Plast.,HoldingCompanies
Tata Invest Corp,HoldingCompanies
Ujjivan Fin-Amalgama,HoldingCompanies
Aavas Financiers,HomeFinance
Aptus Value Housing,HomeFinance
Can Fin Homes,HomeFinance
GIC Housing Fin,HomeFinance
Home First Finance,HomeFinance
Housing & Urban Dev.,HomeFinance
India Shelter Fin.,HomeFinance
LIC Housing Finance,HomeFinance
PNB Housing Finance,HomeFinance
Repco Home Finance,HomeFinance
SRG Housing,HomeFinance
Sammaan Capital,HomeFinance
Star Housing Finance,HomeFinance
Coffee Day Enter.,Hospitality
Delta Corp,Hospitality
EIH Associated Hotel,Hospitality
EIH,Hospitality
HLV,Hospitality
Lemon Tree Hotels,Hospitality
Oriental Hotels,Hospitality
Sayaji Hotels,Hospitality
Taj GVK Hotels,Hospitality
Indian Hotel,Hospitality
Aashka Hospitals,Hospitals
Apollo Hospital Ent.,Hospitals
Aster DM Healthcare,Hospitals
Fortis Healthcare,Hospitals
HealthcareGlobal,Hospitals
Kovai Medical Center,Hospitals
Krishna Inst.Medi,Hospitals
Narayana Hrudayalay,Hospitals
Dollar Industries,InnerwearManufacturers
Lovable Lingerie,InnerwearManufacturers
Lux Industries,InnerwearManufacturers
Page Industries,InnerwearManufacturers
Rupa & Co,InnerwearManufacturers
Aditya Birla Capital,Insurance
Bajaj Finserv,Insurance
Edelweiss Financial,Insurance
General Ins. Corp,Insurance
HDFC Life Insurance,Insurance
ICICI Lombard Gen.,Insurance
ICICI Prudential,Insurance
IDBI,Insurance
Kotak Mahindra Bank,Insurance
Max Financial,Insurance
Poonawalla Fincorp,Insurance
PNB,Insurance
Reliance Capital,Insurance
Religare Enterprises,Insurance
SBI Life Insuran,Insurance
Star Health and Allied,Insurance
SBI,Insurance
Federal Bank,Insurance
New India Assurance,Insurance
HCL Tech.,ITLargeCap
Info Edge,ITLargeCap
Infosys,ITLargeCap
LTIMindtree,ITLargeCap
TCS,ITLargeCap
Tech Mahindra,ITLargeCap
Wipro,ITLargeCap
Coforge,ITMidCap
Indiamart Intermesh,ITMidCap
Infibeam Avenues,ITMidCap
Mphasis,ITMidCap
Oracle Finl. Service,ITMidCap
Persistent Systems,ITMidCap
Quess Corp,ITMidCap
Tata Elxsi,ITMidCap
TeamLease Services,ITMidCap
63 Moons Tech.,ITSmallCap
Accelya Solutions,ITSmallCap
Aurum Proptech,ITSmallCap
Axiscades Tech.,ITSmallCap
Birlasoft,ITSmallCap
Cigniti Technologies,ITSmallCap
Cyient,ITSmallCap
Datamatic Global Ser,ITSmallCap
Expleo Solutions,ITSmallCap
Firstsource Solution,ITSmallCap
HCL Infosystems,ITSmallCap
Hinduja Global Soln.,ITSmallCap
Infinite Computer,ITSmallCap
Intellect Design,ITSmallCap
Just Dial,ITSmallCap
Mastek,ITSmallCap
NIIT,ITSmallCap
Nucleus Software Exp,ITSmallCap
Onmobile Global,ITSmallCap
Prime Focus,ITSmallCap
Quick Heal Tech,ITSmallCap
Ramco Systems,ITSmallCap
Saksoft,ITSmallCap
Sasken Technologies,ITSmallCap
Sonata Software,ITSmallCap
Take Solutions,ITSmallCap
Vakrangee,ITSmallCap
Zen Technologies,ITSmallCap
eClerx Services,ITSmallCap
Aditya Birla Capital,LifeInsurance
Bajaj Finserv,LifeInsurance
Edelweiss Financial,LifeInsurance
Exide Inds,LifeInsurance
HDFC Life Insurance,LifeInsurance
ICICI Prudential,LifeInsurance
IDBI,LifeInsurance
Kotak Mahindra Bank,LifeInsurance
Max Financial,LifeInsurance
PNB,LifeInsurance
Reliance Capital,LifeInsurance
SBI Life Insuran,LifeInsurance
Federal Bank,LifeInsurance
Adani Ports &Special,Logistics
Aegis Logistics,Logistics
Allcargo Gati,Logistics
Allcargo Logistics,Logistics
Blue Dart Express,Logistics
Cochin Shipyard,Logistics
Container Corp,Logistics
Delhivery,Logistics
Essar Shipping,Logistics
Future Supply Chain,Logistics
Gujarat Pipavav Port,Logistics
Mahindra Logistics,Logistics
Mercator,Logistics
Navkar Corporation,Logistics
Seamec,Logistics
Shipping Corpn.,Logistics
Sical Logistics,Logistics
Snowman Logistics,Logistics
TCI Express,Logistics
GE Shipping,Logistics
Transport Corp.,Logistics
Transworld Shipping,Logistics
VRL Logistics,Logistics
Balaji Telefilms,Media&Entertainment
Delta Corp,Media&Entertainment
Entertain. Network,Media&Entertainment
Eros Internatl.Media,Media&Entertainment
Media Matrix World,Media&Entertainment
Music Broadcast,Media&Entertainment
Network 18 Media Inv,Media&Entertainment
Prime Focus,Media&Entertainment
Saregama India,Media&Entertainment
Shemaroo Entertain.,Media&Entertainment
Sun TV Network,Media&Entertainment
TV Today Network,Media&Entertainment
TV18 Broad (Amalgam),Media&Entertainment
UFO Moviez,Media&Entertainment
Wonderla Holidays,Media&Entertainment
Zee Entertainment,Media&Entertainment
Zee Media Corpn.,Media&Entertainment
APL Apollo Tubes,MetalPipes
Electrost Castings,MetalPipes
Gandhi Spl. Tubes,MetalPipes
Jindal Saw,MetalPipes
Maharashtra Seamless,MetalPipes
Man Industries,MetalPipes
Ratnamani Metals,MetalPipes
Srikalahasthi Pipes,MetalPipes
Surya Roshni,MetalPipes
Tata Metal-Amalgamat,MetalPipes
Tube Investments,MetalPipes
Welspun Corp,MetalPipes
Hindalco,Metals
Hindustan Copper,Metals
Hindustan Zinc,Metals
JSW Steel,Metals
Jindal Steel & Power,Metals
KIOCL,Metals
MOIL,Metals
NMDC,Metals
National Aluminium,Metals
SAIL,Metals
Tata Steel,Metals
Vedanta,Metals
Bajaj Finance,NBFC-Deposit-Taking
Can Fin Homes,NBFC-Deposit-Taking
Equitas Holdings,NBFC-Deposit-Taking
GIC Housing Fin,NBFC-Deposit-Taking
Housing & Urban Dev.,NBFC-Deposit-Taking
HDFC-Amalgamated,NBFC-Deposit-Taking
LIC Housing Finance,NBFC-Deposit-Taking
Mah & Mah Finl. Serv,NBFC-Deposit-Taking
Muthoot Capital Serv,NBFC-Deposit-Taking
PNB Housing Finance,NBFC-Deposit-Taking
Repco Home Finance,NBFC-Deposit-Taking
Shriram City Union,NBFC-Deposit-Taking
Shriram Finance,NBFC-Deposit-Taking
Sundaram Finance,NBFC-Deposit-Taking
Ujjivan Fin-Amalgama,NBFC-Deposit-Taking
Aditya Birla Capital,NBFC-NonDepositTaking
Aptus Value Housing,NBFC-NonDepositTaking
Chola Invest & Fin.,NBFC-NonDepositTaking
Edelweiss Financial,NBFC-NonDepositTaking
Home First Finance,NBFC-NonDepositTaking
IFCI,NBFC-NonDepositTaking
L&T Finance,NBFC-NonDepositTaking
MAS Financial Serv,NBFC-NonDepositTaking
Manappuram Finance,NBFC-NonDepositTaking
Motilal Oswal Fin,NBFC-NonDepositTaking
Muthoot Finance,NBFC-NonDepositTaking
PTC India,NBFC-NonDepositTaking
Poonawalla Fincorp,NBFC-NonDepositTaking
Power Finance Corp,NBFC-NonDepositTaking
REC,NBFC-NonDepositTaking
SREI Infra Fin,NBFC-NonDepositTaking
Sammaan Capital,NBFC-NonDepositTaking
Tata Invest Corp,NBFC-NonDepositTaking
Tourism Finance Corp,NBFC-NonDepositTaking
BPCL,OilRefiners
Chennai Petrol. Corp,OilRefiners
HPCL,OilRefiners
Indian Oil Corp.,OilRefiners
MRPL,OilRefiners
ONGC,OilRefiners
Reliance Industries,OilRefiners
Apex Frozen Foods,PackagedMeat
Avanti Feeds,PackagedMeat
Coastal Corporation,PackagedMeat
IFB Agro Inds,PackagedMeat
Tasty Bite Eatables,PackagedMeat
Venkys India,PackagedMeat
Waterbase,PackagedMeat
Zeal Aqua,PackagedMeat
Balmer Lawrie & Co,PackagingandContainers
Bilcare,PackagingandContainers
EPL,PackagingandContainers
Emmbi Industries,PackagingandContainers
Everest Kanto Cylind,PackagingandContainers
Flexituff Ventures,PackagingandContainers
Hitech Corporation,PackagingandContainers
Huhtamaki India,PackagingandContainers
Kaira Can Co,PackagingandContainers
Kanpur Plastipack,PackagingandContainers
Mold-tek Packaging,PackagingandContainers
Oricon Enterprises,PackagingandContainers
TCPL Packaging,PackagingandContainers
TPL Plastech,PackagingandContainers
Technocraft Inds,PackagingandContainers
Cosmo First,PackagingFilms
Ester Inds,PackagingFilms
Garware Hi-Tech,PackagingFilms
Jindal Poly Films,PackagingFilms
Nahar Poly Films,PackagingFilms
Polyplex Corporation,PackagingFilms
SRF,PackagingFilms
Uflex,PackagingFilms
Akzo Nobel India,PaintManufacturers
Asian Paints,PaintManufacturers
Berger Paints India,PaintManufacturers
Indigo Paints,PaintManufacturers
Kansai Nerolac Paint,PaintManufacturers
MRF,PaintManufacturers
SIRCA Paints India,PaintManufacturers
Shalimar Paints,PaintManufacturers
Andhra Paper,Paper&Board
Ballarpur Inds.,Paper&Board
ITC,Paper&Board
JK Paper,Paper&Board
Kuantum Papers,Paper&Board
NR Agarwal Inds,Paper&Board
Orient Paper & Inds.,Paper&Board
Seshasayee Paper,Paper&Board
TN Newsprints,Paper&Board
Trident,Paper&Board
West Coast Paper,Paper&Board
AMI Organics,Pharma-API&CRAMS
Aarti Drugs,Pharma-API&CRAMS
Dishman Carbogen Amc,Pharma-API&CRAMS
Divi's Lab,Pharma-API&CRAMS
Gland Pharma,Pharma-API&CRAMS
Glenmark Life Scienc,Pharma-API&CRAMS
Granules India,Pharma-API&CRAMS
Hikal,Pharma-API&CRAMS
IOL Chem & Pharma,Pharma-API&CRAMS
Jubilant Pharmova,Pharma-API&CRAMS
Laurus Labs,Pharma-API&CRAMS
Morepen Laboratories,Pharma-API&CRAMS
Neuland Laboratories,Pharma-API&CRAMS
SMS Pharmaceuticals,Pharma-API&CRAMS
Sequent Scientific,Pharma-API&CRAMS
Shilpa Medicare,Pharma-API&CRAMS
Solara Active Pharma,Pharma-API&CRAMS
Supriya Lifescience,Pharma-API&CRAMS
Suven Pharma,Pharma-API&CRAMS
Syngene Internation.,Pharma-API&CRAMS
Vivimed Labs,Pharma-API&CRAMS
Aarti Drugs,Pharma-SmallCap
Albert David,Pharma-SmallCap
Amrutanjan Healthcar,Pharma-SmallCap
Anuh Pharma,Pharma-SmallCap
Astrazeneca Pharma I,Pharma-SmallCap
Bajaj Healthcare,Pharma-SmallCap
Bal Pharma,Pharma-SmallCap
Bharat Parenterals,Pharma-SmallCap
Caplin Point Lab,Pharma-SmallCap
Claris Lifesciences,Pharma-SmallCap
Coral Laboratories,Pharma-SmallCap
Dishman Carbogen Amc,Pharma-SmallCap
Eris Lifesciences,Pharma-SmallCap
Everest Organics,Pharma-SmallCap
FDC,Pharma-SmallCap
Fredun Pharma,Pharma-SmallCap
Granules India,Pharma-SmallCap
Gufic Biosciences,Pharma-SmallCap
Hester Biosciences,Pharma-SmallCap
Ind-Swift,Pharma-SmallCap
Indoco Remedies,Pharma-SmallCap
JB Chem & Pharma,Pharma-SmallCap
Kopran,Pharma-SmallCap
Laurus Labs,Pharma-SmallCap
Marksans Pharma,Pharma-SmallCap
Medicamen Biotech,Pharma-SmallCap
Morepen Laboratories,Pharma-SmallCap
NGL Fine-Chem,Pharma-SmallCap
Nectar Lifesciences,Pharma-SmallCap
Neuland Laboratories,Pharma-SmallCap
Novartis,Pharma-SmallCap
Nureca Ltd.,Pharma-SmallCap
Panacea Biotec,Pharma-SmallCap
Prevest Denpro,Pharma-SmallCap
RPG Life Sciences,Pharma-SmallCap
SMS Lifesciences,Pharma-SmallCap
SMS Pharmaceuticals,Pharma-SmallCap
Sequent Scientific,Pharma-SmallCap
Shilpa Medicare,Pharma-SmallCap
