Security Code,Issuer Name,symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,bseIndustry
540694,ANG Lifesciences India Limited,ANG,ANG Lifesciences India Ltd,Active,B ,10,INE236W01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540696,KCD INDUSTRIES INDIA LIMITED,KCDGROUP,KCD Industries India Ltd,Active,X ,1,INE185U01035,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540699,Dixon Technologies (India) Limited,DIXON,Dixon Technologies (India) Ltd,Active,A ,2,INE935N01020,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
540700,Bharat Road Network Limited,BRNL,Bharat Road Network Ltd,Active,B ,10,INE727S01012,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
540701,Dishman Carbogen Amcis Limited,DCAL,Dishman Carbogen Amcis Ltd,Active,A ,2,INE385W01011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540702,Lasa Supergenerics Limited,LASA,Lasa Supergenerics Ltd,Active,T ,10,INE670X01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
540703,PRO CLB GLOBAL LIMITED,PROCLB,Pro Clb Global Ltd,Active,XT,10,INE438C01010,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services
540704,Matrimony.com Limited,MATRIMONY,Matrimony.com Ltd,Active,B ,5,INE866R01028,Internet & Catalogue Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
540710,Capacit'e Infraprojects Limited,CAPACITE,Capacite Infraprojects Ltd,Active,A ,10,INE264T01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
540715,Sagar Diamonds Limited,SAGAR,Sagar Diamonds Ltd,Active,MT,10,INE146Y01013,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
540716,ICICI Lombard General Insurance Company Limited ,ICICIGI,ICICI Lombard General Insurance Company Ltd,Active,A ,10,INE765G01017,General Insurance,Equity,Financial Services,Financial Services,Insurance,General Insurance
540717,Polo Queen Industrial and Fintech Limited ,PQIF,Polo Queen Industrial and Fintech Ltd,Active,B ,2,INE689M01025,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
540718,AAYUSH ART AND BULLION LIMITED,AAYUSHBULL,Aayush Art And Bullion Ltd,Active,MT,10,INE777X01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
540719,SBI Life Insurance Company Limited,SBILIFE,SBI Life Insurance Company Ltd,Active,A ,10,INE123W01016,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance
