Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-19 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
2025-02-20 00:00:00+05:30,177.3,177.3,177.3,177.3,0,0.0,0.0
2025-02-21 00:00:00+05:30,177.25,177.25,177.25,177.25,0,0.0,0.0
2025-02-24 00:00:00+05:30,177.15,177.15,177.15,177.15,0,0.0,0.0
2025-02-25 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-02-26 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-02-27 00:00:00+05:30,177.05,177.05,177.05,177.05,0,0.0,0.0
2025-02-28 00:00:00+05:30,177.0,177.0,177.0,177.0,0,0.0,0.0
2025-03-03 00:00:00+05:30,177.85,177.85,177.85,177.85,0,0.0,0.0
2025-03-04 00:00:00+05:30,177.85,177.85,177.85,177.85,0,0.0,0.0
2025-03-05 00:00:00+05:30,177.8,177.8,177.8,177.8,0,0.0,0.0
2025-03-06 00:00:00+05:30,177.75,177.75,177.75,177.75,0,0.0,0.0
2025-03-07 00:00:00+05:30,177.75,177.75,177.75,177.75,0,0.0,0.0
2025-03-10 00:00:00+05:30,177.65,177.65,177.65,177.65,0,0.0,0.0
2025-03-11 00:00:00+05:30,177.6,177.6,177.6,177.6,0,0.0,0.0
2025-03-12 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-03-13 00:00:00+05:30,177.55,177.55,177.55,177.55,0,0.0,0.0
2025-03-14 00:00:00+05:30,177.5,177.5,177.5,177.5,0,0.0,0.0
2025-03-17 00:00:00+05:30,177.4,177.4,177.4,177.4,0,0.0,0.0
2025-03-18 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
2025-03-19 00:00:00+05:30,177.35,177.35,177.35,177.35,0,0.0,0.0
2025-03-20 00:00:00+05:30,177.3,177.3,177.3,177.3,0,0.0,0.0
2025-03-21 00:00:00+05:30,177.25,177.25,177.25,177.25,0,0.0,0.0
2025-03-24 00:00:00+05:30,177.15,177.15,177.15,177.15,0,0.0,0.0
2025-03-25 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-03-26 00:00:00+05:30,177.1,177.1,177.1,177.1,0,0.0,0.0
2025-03-27 00:00:00+05:30,177.05,177.05,177.05,177.05,0,0.0,0.0
2025-03-28 00:00:00+05:30,177.0,177.0,177.0,177.0,0,0.0,0.0
2025-03-31 00:00:00+05:30,178.05,178.05,178.05,178.05,0,0.0,0.0
2025-04-01 00:00:00+05:30,178.05,178.05,178.05,178.05,0,0.0,0.0
2025-04-02 00:00:00+05:30,178.0,178.0,178.0,178.0,0,0.0,0.0
2025-04-03 00:00:00+05:30,177.95,177.95,177.95,177.95,0,0.0,0.0
2025-04-04 00:00:00+05:30,177.9,177.9,177.9,177.9,0,0.0,0.0
2025-04-07 00:00:00+05:30,180.8,180.8,180.8,180.8,0,0.0,0.0
2025-04-08 00:00:00+05:30,180.75,180.75,180.75,180.75,0,0.0,0.0
